city_from,city_to,transitmode,persona,total distance,time,total Cost,start time,transfertime,eagres time,stop 1 lat,stop 1 long,stop 2 lat,stop 2 long,stop 3 lat,stop 3 long,stop 4 lat,stop 4 long,rowiid
Greater Sudbury,London,3,1,531km,510,$66.20,9:00 AM,1:35PM-3:15PM,5:30 PM,46.504838,-80.938205,43.646652,-79.384396,42.980546,-81.250705,,,121
Greater Sudbury,Hamilton,3,1,436km,710,$73.30,9:00 AM,1:35PM-8:05PM,8:50 PM,46.504838,-80.938205,43.646652,-79.384396,43.253217,-79.869159,,,122
Greater Sudbury,Toronto,3,1,400km,330,$53.10,9:00 AM,,2:30 PM,46.504838,-80.938205,43.646652,-79.384396,,,,,123
Greater Sudbury,Kitchener ,3,1,461km,535,$80.10,9:00 AM,2:30PM-3:30PM,5:55 PM,46.504838,-80.938205,43.646652,-79.384396,43.449564,-80.492256,,,124
Greater Sudbury,Barrie,3,1,292km,500,$52,9:00 AM,2:30PM-3:15PM,5:20 PM,46.504838,-80.938205,43.646652,-79.384396,44.387776,-79.690978,,,125
Greater Sudbury,Ottawa,3,1,484km,455,$68,8:30 AM,,4:05 PM,46.504838,-80.938205,45.408603,-75.695007,,,,,126
Greater Sudbury,North Bay ,3,1,127km,105,$24.10,8:30 AM,,10:15 AM,46.504838,-80.938205,46.313901,-79.438546,,,,,127
Greater Sudbury,Hastings Highlands,3,1,384km,1635,$132.90,9:00 AM,2:30PM-4PM-6:50PM-10:15AM,12:15 PM,46.504838,-80.938205,43.646652,-79.384396,44.304691,-78.323045,45.231021,-77.937785,128
Greater Sudbury,London,3,2,531km,510,$66.20,9:00 AM,1:35PM-3:15PM,5:30 PM,46.504838,-80.938205,43.646652,-79.384396,42.980546,-81.250705,,,129
Greater Sudbury,Hamilton,3,2,436km,710,$73.30,9:00 AM,1:35PM-8:05PM,8:50 PM,46.504838,-80.938205,43.646652,-79.384396,43.253217,-79.869159,,,130
Greater Sudbury,Toronto,3,2,400km,330,$53.10,9:00 AM,,2:30 PM,46.504838,-80.938205,43.646652,-79.384396,,,,,131
Greater Sudbury,Kitchener ,3,2,461km,535,$80.10,9:00 AM,2:30PM-3:30PM,5:55 PM,46.504838,-80.938205,43.646652,-79.384396,43.449564,-80.492256,,,132
Greater Sudbury,Barrie,3,2,292km,500,$52,9:00 AM,2:30PM-3:15PM,5:20 PM,46.504838,-80.938205,43.646652,-79.384396,44.387776,-79.690978,,,133
Greater Sudbury,Ottawa,3,2,484km,455,$68,8:30 AM,,4:05 PM,46.504838,-80.938205,45.408603,-75.695007,,,,,134
Greater Sudbury,North Bay ,3,2,127km,105,$24.10,8:30 AM,,10:15 AM,46.504838,-80.938205,46.313901,-79.438546,,,,,135
